,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category,tract
682,Subway Salads & Sandwiches,Hat Trick Company Inc,6/22/2012,2373,Mountain View Dr,15122,40.345026000000004,-79.947141,NO Dollar Menu,488600
683,Subway Salads & Sandwiches,Tolmer Foods Inc,6/27/2005,119,22nd Ave,15120,40.398055,-79.901875,NO Dollar Menu,
684,Subway Salads & Sandwiches #25920,Tolmer Foods Inc,6/29/2011,517,McNeilly Rd,15226,40.382945,-80.017415,NO Dollar Menu,191800
685,Subway Salads & Sandwiches #44133,Harrison & Harrison LLC,10/11/2011,1500,5th Ave,15132,40.351343,-79.849457,NO Dollar Menu,550900
686,Subway Salads & Sandwiches #56580,,9/14/2012,264,Mt Nebo Pointe Dr,15237,40.534890999999995,-80.06819899999999,NO Dollar Menu,437000
687,Subway Sandwich & Salads,Nonu Inc,8/31/2005,1039,Freeport Rd,15238,40.488339,-79.88551899999999,NO Dollar Menu,421100
688,Subway Sandwiches,Jeet Subs,12/24/2009,112,Chartiers Ave,15136,40.465602000000004,-80.055586,NO Dollar Menu,464400
689,Subway Sandwiches,McIntyre Subway LLC,12/20/2001,7900,McKnight Rd,15237,40.552794,-80.015417,NO Dollar Menu,413400
690,Subway Sandwiches & Salads,,8/10/2000,500,Pine Hollow Rd Kenmawr Plaza,15136,40.469395,-80.114941,NO Dollar Menu,463900
691,Subway Sandwiches & Salads,,6/11/1991,39,Walsh Rd,15205,40.440123,-80.071073,NO Dollar Menu,465600
692,Subway Sandwiches & Salads,,8/1/1991,2351,Noblestown Rd,15205,40.426815000000005,-80.055137,NO Dollar Menu,469000
693,Subway Sandwiches & Salads,Armaan LLC,10/24/2003,950,Ridge Ave,15212,40.450089,-80.018163,NO Dollar Menu,436000
694,Subway Sandwiches & Salads,Himbaugh Littman Corp,6/13/2001,3,Market Pl,15222,40.440228000000005,-80.00259100000001,NO Dollar Menu,020100
695,Subway Sandwiches & Salads,Himebaugh-Littmann Corp,10/22/1990,401,Wood St,15222,40.439578000000004,-80.001289,NO Dollar Menu,020100
696,Subway Sandwiches & Salads,Himebaugh Littmann,2/26/2007,703,Liberty Ave,15222,40.442751,-79.99971,NO Dollar Menu,020100
697,Subway Sandwiches & Salads,Bina Inc,1/18/2002,414,Smithfield St,15222,40.439038000000004,-79.999103,NO Dollar Menu,020100
698,Subway Sandwiches & Salads,Bina Inc,9/1/2009,225,Ross St,15219,40.437,-79.997091,NO Dollar Menu,020100
699,Subway Sandwiches & Salads,Miller & Scotsberger Inc,10/24/2002,2158,Brownsville Rd,15210,40.391956,-79.987408,NO Dollar Menu,290100
700,Subway Sandwiches & Salads,Bina Inc,1/26/2004,4142,Saw Mill Run Blvd,15227,40.376065999999994,-79.969628,NO Dollar Menu,
701,Subway Sandwiches & Salads,Shaum Inc,2/17/2005,4017,Butler St,15201,40.469282,-79.961849,NO Dollar Menu,090100
702,Subway Sandwiches & Salads,D&J Subs LLC,2/19/2008,3707,Forbes Ave,15213,40.441327,-79.957546,NO Dollar Menu,040500
703,Subway Sandwiches & Salads,Naspal Bros Inc,7/21/2004,418,S Craig St,15213,40.444757,-79.948953,NO Dollar Menu,040400
704,Subway Sandwiches & Salads,Pittsburghs Sandwiches Inc,5/11/2005,751,Pittsburgh / McKeesport Blvd,15034,40.355588,-79.898878,NO Dollar Menu,
705,Subway Sandwiches & Salads,,11/14/2000,201,Allegheny Ave,15139,40.514196000000005,-79.843961,NO Dollar Menu,525200
706,Subway Sandwiches & Salads,Sahanaa Enterprises Inc,1/9/2008,11667,Penn Hills Dr,15235,40.464969,-79.8267,NO Dollar Menu,523400
707,Subway Sandwiches & Salads,Pardeep Inc,11/27/1995,1732,Pacific Ave,15065,40.62324,-79.723789,NO Dollar Menu,401200
708,Subway Sandwiches & Salads #2685,Virk Goraya Inc,6/1/2006,4136,Library Rd,15234,40.359115,-80.029173,NO Dollar Menu,476100
709,Subway Sandwiches & Salads #2849,Sumesh LLC,6/19/2007,308,Cochran Rd,15228,40.380803,-80.05256,NO Dollar Menu,
710,Subway Sandwiches & Salads #3505,,5/18/1990,809,West View Park Dr,15229,40.516906,-80.03279,NO Dollar Menu,430200
711,Subway Sandwiches & Salads #6338,Natasha LLC,1/10/2003,700,Forbes Ave,15219,40.438202000000004,-79.992285,NO Dollar Menu,010300
712,Subway Sandwiches & Salads #15051,Vaidova / Khara LLC,8/30/2006,150,Market Place Dr,15071,40.441348,-80.239649,NO Dollar Menu,453002
713,Subway Sandwiches & Salads #18944,Hat Trick Company Inc,6/25/2012,971,Ohio River Blvd,15202,40.497453,-80.060344,NO Dollar Menu,
714,Subway Sandwiches & Salads #20844,Tolmer Foods Inc,12/13/2002,55,Alpha Dr,15238,40.538903999999995,-79.835563,NO Dollar Menu,421100
715,Subway Sandwiches & Salads #24670,Aman & Nikhil Inc,10/5/2006,9805,McKnight Rd,15237,40.584706,-80.039643,NO Dollar Menu,413201
716,Subway Sandwiches & Salads #24919,Anmoal LLC,3/5/2007,583,Clairton Blvd,15236,40.333226,-79.94624,NO Dollar Menu,
717,Subway Sandwiches & Salads #26939,,8/28/2002,930,Presque Isle Dr,15239,40.462408,-79.706499,NO Dollar Menu,526302
718,Subway Sandwiches & Salads #29207,Punj Star Management,6/3/2008,1025,Washington Pike,15017,40.367163,-80.110119,NO Dollar Menu,
719,Subway Sandwiches & Salads #36480,Viru Goyaya Inc,6/1/2006,300,Mt Lebanon Blvd,15234,40.368707,-80.034816,NO Dollar Menu,476100
720,Subway Sandwiches & Salads #58293,AV Subs LLC,4/3/2013,5500,Butler St,15201,40.483434,-79.948921,NO Dollar Menu,101100
721,Subway Sandwiches #21685,Sunny & Nikhil lnc,3/3/2000,10,Village Dr,15056,40.557796,-80.204226,NO Dollar Menu,475200
722,Subway Sandwiches #27505,Mrad Barwad LLC,11/20/2015,3446,William Penn Hwy,15235,40.429165000000005,-79.811071,NO Dollar Menu,520001
723,Subway Sandwiches #28039,Sumedha LLC,6/27/2003,301,South Hills Village,15241,40.342622999999996,-80.05617,NO Dollar Menu,
724,Subway Sandwiches #28040,Nikita Nagpal LLC,11/23/2015,1000,Ross Park Mall Dr,15237,40.538969,-80.007711,NO Dollar Menu,429201
725,Subway Sandwiches #30671,Sid Hu Subs LLC,11/5/2008,7343,Saltsburg Rd,15235,40.478134999999995,-79.78589000000001,NO Dollar Menu,523702
726,Subway Sandwiches #37037,Tolmer Foods,6/20/2007,930,Penn Ave,15222,40.443878000000005,-79.996862,NO Dollar Menu,020100
727,Sushi Fuku,Sushi Fuku LLC,8/15/2012,120,Oakland Ave,15213,40.441664,-79.95736600000001,Take Out,040500
728,Sushi Fuku #2,Sushi Fuku LLC,5/4/2015,417,Craig St,15213,40.454609000000005,-79.95401899999999,Take Out,050700
729,Sushic @ Giant Eagle #40,Sushic GE LLC,4/18/2015,5550,Centre Ave,15232,40.456537,-79.934434,Take Out,070900
